Question,Answer
นายแดงกระทำความผิดในราชอาณาจักร และถูกฟ้องจนศาลชั้นต้นพิพากษาลงโทษไปแล้ว แต่ปรากฏว่าตามกฎหมายที่บัญญัติในภายหลัง การกระทำนั้นไม่เป็นความผิด จะมีผลดีแก่นายแดงเพียงใด ถ้าปรากฏว่าคำพิพากษาของศาลชั้นต้นถึงที่สุดโดยไม่มีการอุทธรณ์ และนายแดงพ้นโทษไปแล้ว,มีผลดี เพราะถือว่านายแดงไม่เคยต้องคำพิพากษาว่าได้กระทำความผิด
ขณะที่เครื่องบินของสายการบินไทยจอดรับผู้โดยสารอยู่ที่ท่าอากาศยานเมืองนาริตะ ประเทศญี่ปุ่น นายอันวา ชาวอินเดีย ได้ทำร้ายนายซาบะ ชาวญี่ปุ่น บนเครื่องบินนั้น ดังนี้ ศาลไทยจะมีอำนาจพิจารณาพิพากษาลงโทษนายอันวาได้หรือไม่ อย่างไร,ได้ เพราะเป็นการกระทำที่กฎหมายให้ถือว่าเป็นการกระทำในราชอาณาจักร
ในขณะที่เครื่องบินของสายการบินไทยกำลังขึ้นจากสนามบินสุวรรณภูมิเพื่อจะไปยังประเทศออสเตรเลีย นายบุญมี คนไทย เห็นนายโดมอน คนรัสเซีย งีบหลับ จึงแอบหยิบโทรศัพท์มือถือของนายโดมอนไป ต่อมานายโดมอนเดินทางกลับมาประเทศไทย นายโดมอนจะดำเนินคดีกับนายบุญมีในประเทศไทยได้หรือไม่,ได้ เพราะการที่นายบุญมีลักทรัพย์นายโดมอนคนรัสเซีย ขณะที่เครื่องบินกำลังขึ้นจากสนามบินสุวรรณภูมิ ถือว่าเหตุเกิดบนพื้นอากาศเหนือราชอาณาจักร เป็นการกระทำความผิดในราชอาณาจักรตามประมวลกฎหมายอาญามาตรา 4 วรรคแรก จึงสามารถดำเนินคดีกับนายบุญมีได้
นายบุญหน่าสัญชาติกัมพูชาไปเที่ยวที่นครเวียงจันทน์ ประเทศลาว ถูกนายคามหล้าสัญชาติลาวขโมยสร้อยข้อมือทองคำและแหวนเพชรไปจากห้องพักในโรงแรมที่นครเวียงจันทน์ จากนั้นนายคามหล้าเดินทางเข้ามาที่จังหวัดหนองคายประเทศไทย นายบุญหน่าติดตามมาพบเข้า จึงแจ้งให้เจ้าหน้าที่ตำรวจจับนายคามหล้า พร้อมด้วยสร้อยข้อมือและแหวนเพชรที่ขโมยมาได้ที่ตลาดริมโขงหนองคาย นายคามหล้าถูกฟ้องต่อศาลจังหวัดหนองคายฐานลักทรัพย์ ดังนี้ ผู้พิพากษาศาลจังหวัดหนองคายจะพิพากษาลงโทษนายคามหล้าได้หรือไม่ อย่างไร,พิพากษายกฟ้องเพราะความผิดเกิดนอกราชอาณาจักร และทั้งผู้เสียหายและผู้กระทำความผิดเป็นคนต่างด้าว
นายอับดุล ชาวอินเดียอยู่ในประเทศมาเลเซีย ต้องการฆ่านายบังเลาะ ชาวมาเลเซีย ขณะที่นายอับดุลยืนอยู่ที่ท่าเรือมาเลเซียเห็นนายบังเลาะเดินอยู่บริเวณท่าเรือ จึงใช้ปืนเล็งยิงไปที่นายบังเลาะ กระสุนปืนถูกนายบังเลาะได้รับบาดเจ็บ นายบังเลาะหนีลงไปซ่อนตัวและถึงแก่ความตายในเรือท่องเที่ยวไทยที่จอดอยู่ท่าเรือมาเลเซีย ดังนี้ ศาลไทยมีอำนาจลงโทษนายอับดุลหรือไม่หากนายอับดุลเข้ามาในประเทศไทย,ไม่มีอำนาจลงโทษเพราะไม่มีการกระทำส่วนหนึ่งส่วนใดเกิดขึ้นในเรือไทย กรณีตาม ป.อ. มาตรา 4 วรรคสอง ต้องมีการกระทำส่วนหนึ่งส่วนใดเกิดขึ้นในเรือไทย จึงให้ถือว่าเป็นการกระทำความผิดในราชอาณาจักร ส่วนกรณีตาม ป.อ. มาตรา 5 วรรคแรก ผลที่เกิดขึ้นในราชอาณาจักรไม่หมายความรวมถึงเรือไทยหรืออากาศยานไทยที่กฎหมายเพียงแต่ให้ถือว่าเป็นราชอาณาจักร
นายอับดุลอยู่ในประเทศมาเลเซีย ต้องการเผาบ้านนายบังเลาะ นักธุรกิจชาวมาเลเซียซึ่งอยู่ในประเทศไทย นายอับดุลเตรียมน้ำมันเชื้อเพลิงและไฟแช็กเพื่อเข้ามาวางเพลิงเผาบ้านนายบังเลาะ แต่ก่อนที่นายอับดุลจะหิ้วน้ำน้ำมันข้ามแดนมาก็ถูกตำรวจมาเลเซียจับกุมเสียก่อน หากนายอับดุลหลบหนีเข้ามาในประเทศไทย เช่นนี้ ศาลไทยสามารถลงโทษนายอับดุลได้หรือไม่ อย่างไร,มีอำนาจลงโทษเพราะการตระเตรียมวางเพลิงมีกฎหมายบัญญัติให้เป็นความผิด และหากมีการกระทำต่อไปถึงขั้นความผิดสำเร็จ ผลจะเกิดขึ้นในประเทศไทย
นายอับดุลชาวมาเลเซียอยู่ในประเทศมาเลเซีย ต้องการเผาบ้านนายบังเลาะซึ่งอยู่ในประเทศไทย ที่อำเภอเบตง จังหวัดยะลา นายอับดุลเตรียมซื้อน้ำมันเชื้อเพลิงและไฟแช็กเพื่อเข้ามาวางเพลิงเผาบ้านนายบังเลาะ ต่อมานายอับดุลนำเชื้อเพลิงดังกล่าวที่เตรียมไว้ลอบเข้ามาเผาบ้านของนายบังเลาะที่อยู่ในประเทศไทยได้สำเร็จ แต่ถูกตำรวจไทยจับตัวได้ เช่นนี้ ศาลไทยสามารถลงโทษนายอับดุลได้หรือไม่ อย่างไร,นายอับดุลเข้ามาเผาบ้านนายบังเลาะที่อำเภอเบตง จังหวัดยะลาเป็นการกระทำความผิดในราชอาณาจักร จึงต้องรับโทษในราชอาณาจักรตาม ป.อ. มาตรา 4 วรรคแรก
นายอับดุลชาวมาเลเซียอยู่ในประเทศมาเลเซียต้องการฆ่านายบังเลาะนักธุรกิจชาวมาเลเซียที่อยู่ในประเทศไทย จึงจ้างนายรามซิง มือปืนชาวมาเลเซียให้ไปยิงนายบังเลาะ นายรามซิงจึงเดินทางข้ามแดนมาประเทศไทย แต่ยังไม่ทันลงมือยิงก็ถูกตำรวจไทยจับกุมเสียก่อน เช่นนี้ ศาลไทยจะมีอำนาจลงโทษนายอับดุลหรือไม่,ลงโทษนายอับดุลไม่ได้เพราะการกระทำของนายอับดุลอยู่เพียงขั้นตระเตรียมฆ่า และลงโทษนายฮากิมฐานเป็นผู้สนับสนุนไม่ได้เพราะความผิดยังมิได้กระทำลงในราชอาณาจักร
นายกิมย้งคนจีนกับลูกน้องดักปล้นทรัพย์เรือสินค้าไทยซึ่งแล่นอยู่ในเขตทะเลหลวง หากต่อมานายกิมย้งถูกเจ้าหน้าที่ตำรวจจับได้ ดังนี้ ศาลไทยจะมีอำนาจลงโทษนายกิมย้งได้หรือไม่,ศาลไทยลงโทษนายกิมย้งได้เพราะมีการกระทำผิดในเรือไทย ความผิดนอกราชอาณาจักรตาม ป.อ. มาตรา 7 ต้องมิได้เกิดในสถานที่ซึ่งถือว่าเป็นการกระทำความผิดในราชอาณาจักร นายกิมย้งปล้นเรือสินค้าไทย ซึ่งมาตรา 4 วรรคสองให้ถือว่าเป็นการกระทำความผิดในราชอาณาจักร ศาลไทยจึงมีอำนาจลงโทษตามหลักดินแดน
นายหนานและนายบุญตันชาวลาวนั่งรถทัวร์จากประเทศลาวมาเที่ยวประเทศไทย ขณะรถยังวิ่งอยู่ในประเทศลาว นายหนานหลอกให้นายบุญตันกินขนมผสมยากดประสาท นายบุญตันกินขนมแล้วหมดสติไป ขณะรถทัวร์เข้ามาในเขตจังหวัดหนองคาย ประเทศไทย นายหนานจึงลักเอาโทรศัพท์มือถือของนายบุญตันไปเป็นของตน เมื่อนายบุญตันรู้สึกตัวและแจ้งความดำเนินคดีกับนายหนานที่จังหวัดหนองคาย ศาลไทยจะลงโทษนายหนานได้หรือไม่อย่างไร,ลงโทษได้ เพราะการกระทำความผิดฐานชิงทรัพย์เริ่มเมื่อนายหนานให้ขนมผสมยากดประสาทแก่นายบุญตันกินในเขตประเทศลาว และมีการเอาทรัพย์ไปในเขตประเทศไทย ถือว่าการกระทำส่วนหนึ่งเกิดในราชอาณาจักร
